imdb_id,rating
0045897,1
0045920,2
0046268,1
0046183,3
0045758,0
0045826,0
0046250,3
0046066,1
0046345,3
0046076,3
0046478,2
0046187,3
0046731,2
0046750,3
0046828,3
0047437,3
0046451,1
0047152,1
0047094,3
0047478,0
0047573,1
0047396,3
0047034,1
0047580,3
0047127,3
0047443,3
0046963,2
0045665,3
0047296,0
0047472,3
0047238,3
0047136,2
0047673,3
0047638,3
0046912,0
0047834,0
0046672,0
0047522,1
0046876,0
0047030,2
0046705,1
0046511,3
0047349,2
0048127,2
0048801,3
0046911,3
0047878,2
0048140,3
0048424,3
0048124,3
0048281,3
0048673,3
0048356,3
0048605,1
0048545,1
0048021,1
0048445,3
0047577,0
0048641,2
0048517,3
0048473,3
0047898,3
0048432,2
0046889,1
0048401,3
0048750,2
0048728,3
0048254,1
0046969,3
0047969,3
0048696,0
0048133,3
0048280,2
0048512,0
0048956,3
0049408,2
0049904,1
0049189,3
0035279,1
0049369,1
0048977,3
0048981,2
0049787,2
0049363,1
0049934,3
0049010,0
0049537,3
0049640,3
0049782,1
0049314,3
0049762,3
0049471,3
0049366,3
0049096,2
0049287,3
0049730,3
0049038,3
0049833,2
0051207,1
0049470,2
0049406,1
0049196,3
0049043,3
0049223,0
0048960,0
0049902,0
0050356,0
0050397,0
0050610,0
0050976,1
0050549,3
0051077,0
0050539,0
0051036,1
0050419,3
0050251,3
0050116,3
0050634,3
0050798,1
0050933,2
0051151,3
0050783,3
0050105,2
0050490,0
0050599,2
0050792,1
0050371,1
0051114,2
0050998,3
0050861,3
0050407,2
0050307,3
0050212,1
0050986,2
0050766,3
0050421,3
0050083,0
0050613,0
0051201,1
0050585,1
0050825,0
0051051,3
0051808,0
0052225,3
0051755,1
0052151,0
0052311,1
0050706,3
0052182,3
0052365,2
0051773,3
0051525,0
0052394,3
0052357,1
0052374,0
0051383,3
0051786,1
0051776,3
0051422,0
0051579,3
0051658,2
0052169,2
0051758,3
0051554,3
0051622,2
0051459,3
0052278,1
0051964,3
0051951,1
0052017,3
0052948,1
0053285,3
0052861,1
0053221,1
0052572,0
0053318,3
0053388,1
0053454,0
0052602,3
0053131,3
0053172,3
0156843,1
0053291,3
0052654,3
0053125,1
0053198,0
0053134,3
0052847,3
53285,3
0051372,3
0052561,1
0052077,1
0052618,3
0052918,3
0052846,3
0053428,3
0053363,1
0052722,3
0054462,3
0052844,3
0051744,3
0052655,2
0054167,2
0053804,3
0054047,0
0053472,0
0053719,3
0054198,2
0054331,2
0054749,3
0054215,3
0054333,3
0053976,3
0053604,3
0054343,3
0054049,3
0054377,1
0053579,3
0054022,2
0054389,2
0053946,3
0053459,3
0053250,1
0054452,3
0054067,3
0054407,0
0154683,3
0053732,3
0054248,2
0054476,3
0054469,2
0054494,3
0054387,0
0053677,3
0054279,1
0053779,2
0054692,3
0054698,2
0055278,3
0055353,3
0054953,1
0055572,0
0054599,3
0054777,3
0055571,3
0054743,3
0054130,3
0055018,3
0055082,3
0055458,3
0055198,0
0055630,1
0055614,3
0054673,0
0055093,2
0055256,3
0055184,3
0055254,3
0054879,3
0055277,3
0055207,0
0054997,0
0055499,0
0055294,0
0055506,3
0054847,1
0055471,3
0056119,0
0052646,2
0056687,3
0055805,2
0056262,3
0055894,3
0055032,1
0056575,2
0055910,3
0057239,3
0055832,1
0056059,3
0056194,3
0055763,1
0056592,3
0056671,3
0056193,3
0055728,3
0059616,0
0056142,3
0056197,0
0055928,1
0057427,1
0055852,3
0054949,0
0056241,3
0056172,0
0055830,3
0056048,3
0056111,1
0056218,1
0056663,3
0055902,2
0057215,0
0057187,2
0057693,1
0057546,0
0056801,3
0057226,2
0057115,0
0056912,3
0056983,3
0056910,3
0057180,1
0056800,1
0056923,2
0057076,3
0057358,1
0057193,3
0056860,2
0057611,3
0057329,3
0057490,3
0057345,1
0057542,3
0056891,3
0057449,1
0057129,3
0057643,1
0057261,0
0057590,3
0056443,3
0057495,0
0058164,0
0056869,3
0336693,0
